invoice_number,invoice_time,store_id,product_id,category_id,num_item,price
10159,7/25/15 4:28,G300,7308017,210101,1,3
10168,7/25/15 8:10,G816,15000231,70301,1,2
10180,7/25/15 8:12,G816,7313684,70101,1,2.5
10188,7/25/15 8:34,G816,7090363,70401,1,6
10201,7/25/15 9:06,G816,7071218,70101,1,3
10210,7/25/15 9:08,G816,7071218,70101,1,3
10223,7/25/15 9:08,G816,7313684,70101,1,2.5
10236,7/25/15 9:20,G619,7313684,70101,1,2.5
10251,7/25/15 9:20,G619,15000231,70301,1,2
10263,7/25/15 9:29,G300,7000126,210301,1,2
10275,7/25/15 9:56,G816,7000126,210301,2,2
10285,7/25/15 9:56,G816,7000300,210101,1,2
10298,7/25/15 9:56,G816,7313684,70101,1,2.5
10308,7/25/15 9:56,G816,7313684,70101,1,2.5
10318,7/25/15 10:10,G816,15000231,70301,1,2
10329,7/25/15 10:13,G816,7090462,70101,2,1
10339,7/25/15 10:13,G816,15000231,70301,1,2
10362,7/25/15 10:15,G619,7070891,70401,1,6
10374,7/25/15 10:18,G816,7070891,70401,1,6
10389,7/25/15 10:18,G816,7071331,70301,1,4
10402,7/25/15 10:33,G619,7070884,70203,1,2
10417,7/25/15 10:33,G619,7070891,70401,1,6
10101,7/25/15 10:35,G816,7090462,70101,1,1
10110,7/25/15 10:35,G816,7313684,70101,1,2.5
10125,7/25/15 10:36,G619,7071096,70201,1,5
10139,7/25/15 11:00,G619,7070884,70203,1,2
10149,7/25/15 11:01,G619,7070969,70401,1,5.75
10162,7/25/15 11:01,G619,7071096,70201,1,4.71
10173,7/25/15 11:14,G816,7000300,210101,3,2
10182,7/25/15 11:21,G628,7000300,210101,1,2
10193,7/25/15 12:08,G816,7070884,70203,1,2
10205,7/25/15 12:08,G816,15000231,70301,1,2
10214,7/25/15 12:10,G816,7090370,70401,1,6
10227,7/25/15 12:11,G816,7070891,70401,1,6
10244,7/25/15 12:11,G816,7071096,70201,1,5
10255,7/25/15 12:11,G619,7000300,210101,2,2
10280,7/25/15 12:19,G619,7000300,210101,1,2
10289,7/25/15 12:19,G619,7070891,70401,1,6
10304,7/25/15 12:19,G619,7071102,70201,1,5.5
10312,7/25/15 12:19,G619,7071140,70201,1,2.5
10322,7/25/15 12:23,G619,7070884,70203,2,2
10332,7/25/15 12:24,G619,7070969,70401,1,6
10347,7/25/15 12:24,G619,7071096,70201,1,5
10356,7/25/15 12:28,G816,7070884,70203,1,2
10367,7/25/15 12:28,G816,7070884,70203,1,2
10380,7/25/15 12:28,G816,7090363,70401,1,6
10390,7/25/15 12:29,G816,7071096,70201,1,5
10421,7/25/15 12:29,G816,7071096,70201,1,5
10109,7/25/15 12:29,G816,7090363,70401,2,6
10123,7/25/15 12:36,G619,21000430,210101,1,3.5
10137,7/25/15 12:37,G619,7000294,210101,2,1.5
10148,7/25/15 12:39,G816,7070884,70203,1,2
10161,7/25/15 12:39,G816,7090363,70401,1,6
10172,7/25/15 12:43,G816,7000300,210101,1,2
